rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
4,1.PS,Scheldeprijs,41172,GROENEWEGEN Dylan,19238,0.0,0,2023-04-05
5,1.PS,Scheldeprijs,41172,THIJSSEN Gerben,27085,0.0,0,2023-04-05
6,1.PS,Scheldeprijs,41172,THEUNS Edward,16697,0.0,0,2023-04-05
7,1.PS,Scheldeprijs,41172,EWAN Caleb,19651,0.0,0,2023-04-05
8,1.PS,Scheldeprijs,41172,WALSCHEID Maximilian,19646,0.0,0,2023-04-05
9,1.PS,Scheldeprijs,41172,EINHORN Itamar,27315,0.0,0,2023-04-05
10,1.PS,Scheldeprijs,41172,NIZZOLO Giacomo,13863,0.0,0,2023-04-05
1,2.1s,"Région Pays de la Loire Tour, Stage 2 : Clisson - Le Lion-dAngers",41214,BLIKRA Erlend Jordbrekk,25761,0.0,0,2023-04-05
1,2.1s,"Tour of Thailand, Stage 5 : Aranyaprathet - Chanthaburi",41201,JANG Kyung-gu,12885,0.0,0,2023-04-05
1,2.WT1s,"Itzulia Basque Country, Stage 2 : Viana - Leitza (prov.)",41205,SCHELLING Ide,26301,0.0,0,2023-04-04
1,2.1s,"Région Pays de la Loire Tour, Stage 1 : Saint-Nazaire - Saint-Gilles-Croix-de-Vie",41213,COQUARD Bryan,18714,0.0,0,2023-04-04
1,2.1s,"Tour of Thailand, Stage 4 : Khao Yai - Aranyaprathet",41200,KUSUMA Terry,33545,0.0,0,2023-04-04
1,2.WT1s,"Itzulia Basque Country, Stage 1 : Vitoria - Labastida (prov.)",41204,HAYTER Ethan,27025,0.0,0,2023-04-03
1,2.1s,"Tour of Thailand, Stage 3 : Phra Nakhon Sri Ayutthaya - Khao Yai",41199,KUZMIN Anton,24277,0.0,0,2023-04-03
1,1.WT1,Ronde van Vlaanderen,41171,POGACAR Tadej,26526,0.0,0,2023-04-02
2,1.WT1,Ronde van Vlaanderen,41171,VAN DER POEL Mathieu,21971,0.0,0,2023-04-02
3,1.WT1,Ronde van Vlaanderen,41171,PEDERSEN Mads,21992,0.0,0,2023-04-02
4,1.WT1,Ronde van Vlaanderen,41171,VAN AERT Wout,20730,0.0,0,2023-04-02
5,1.WT1,Ronde van Vlaanderen,41171,POWLESS Neilson,24902,0.0,0,2023-04-02
6,1.WT1,Ronde van Vlaanderen,41171,KÜNG Stefan,20960,0.0,0,2023-04-02
7,1.WT1,Ronde van Vlaanderen,41171,ASGREEN Kasper,23558,0.0,0,2023-04-02
8,1.WT1,Ronde van Vlaanderen,41171,WRIGHT Fred,28446,0.0,0,2023-04-02
9,1.WT1,Ronde van Vlaanderen,41171,JORGENSON Matteo,28057,0.0,0,2023-04-02
10,1.WT1,Ronde van Vlaanderen,41171,TRENTIN Matteo,13270,0.0,0,2023-04-02
1,2.1s,"Tour of Thailand, Stage 2 : Kanchanaburi - Phra Nakhon Sri Ayutthaya",41198,SUNDERLAND Dylan,23947,0.0,0,2023-04-02
1,1.PS,GP Miguel Indurain,41170,IZAGIRRE INSAUSTI Ion,14321,0.0,0,2023-04-01
